,codigo_do_municipio,nome_do_municipio,ano,proficiencia_media_matematica,variacao_proficiencia_media_matematica,porcentagem_de_docentes_com_formacao_adequada_no_fundamental,porcentagem_de_alunos_do_ensino_fundamental_em_escolas_com_laboratorio_de_informatica,porcentagem_de_alunos_do_ensino_fundamental_em_escolas_com_acesso_a_internet
0,1,Média dos Municípios Tradados,2008,159.3498727735369,,,,
1,1,Média dos Municípios Tradados,2009,169.52824133504492,10.178368561508023,,,
2,1,Média dos Municípios Tradados,2010,169.0200284090909,-0.5082129259540125,,,
3,1,Média dos Municípios Tradados,2011,182.72942097026606,13.70939256117515,,,
4,1,Média dos Municípios Tradados,2012,187.68615384615384,4.956732875887781,,,
5,1,Média dos Municípios Tradados,2013,183.75592920353984,-3.9302246426140073,27.183333333333334,58.21083333333333,66.34666666666666
6,1,Média dos Municípios Tradados,2014,183.9170515097691,0.1611223062292595,29.520833333333332,56.99041666666667,67.65583333333333
7,1,Média dos Municípios Tradados,2015,188.30822429906542,4.39117278929632,31.104166666666668,51.50625,73.69
8,1,Média dos Municípios Tradados,2016,185.75434782608696,-2.553876472978459,32.3375,49.89541666666667,78.10916666666667
9,1,Média dos Municípios Tradados,2017,190.29232283464566,4.537975008558703,31.933333333333334,45.70416666666667,78.14625
10,1,Média dos Municípios Tradados,2018,200.60084033613447,10.308517501488808,,,
11,2600054,Abreu E Lima (PE),2008,166.2258064516129,,,,
12,2600054,Abreu E Lima (PE),2009,167.25151515151515,1.0257086999022533,,,
13,2600054,Abreu E Lima (PE),2010,169.1375,1.8859848484848385,,,
14,2600054,Abreu E Lima (PE),2011,177.6483870967742,8.510887096774212,,,
15,2600054,Abreu E Lima (PE),2012,176.57407407407408,-1.0743130227001245,,,
16,2600054,Abreu E Lima (PE),2013,178.9,2.3259259259259295,58.6,45.97,90.04
17,2600054,Abreu E Lima (PE),2014,181.42,2.519999999999982,59.3,47.88,88.34
18,2600054,Abreu E Lima (PE),2015,182.7185185185185,1.298518518518506,54.7,42.86,88.12
19,2600054,Abreu E Lima (PE),2016,184.0892857142857,1.3707671957672005,53.5,41.58,91.14
20,2600054,Abreu E Lima (PE),2017,186.03846153846155,1.9491758241758532,55.8,37.61,87.03
21,2600054,Abreu E Lima (PE),2018,194.35416666666663,8.315705128205082,,,
22,2600104,Afogados da Ingazeira (PE),2008,169.676,,,,
23,2600104,Afogados da Ingazeira (PE),2009,178.46400000000003,8.78800000000004,,,
24,2600104,Afogados da Ingazeira (PE),2010,165.79333333333335,-12.670666666666676,,,
25,2600104,Afogados da Ingazeira (PE),2011,193.1,27.306666666666644,,,
26,2600104,Afogados da Ingazeira (PE),2012,196.9578947368421,3.8578947368420984,,,
27,2600104,Afogados da Ingazeira (PE),2013,200.305,3.347105263157914,34.5,91.26,91.26
28,2600104,Afogados da Ingazeira (PE),2014,196.665,-3.640000000000015,41.5,91.55,91.55
29,2600104,Afogados da Ingazeira (PE),2015,216.75,20.085000000000008,38.3,87.62,92.52
30,2600104,Afogados da Ingazeira (PE),2016,219.9578947368421,3.2078947368420927,34.2,87.19,92.96
31,2600104,Afogados da Ingazeira (PE),2017,215.61052631578949,-4.347368421052607,35.9,85.5,87.37
32,2600104,Afogados da Ingazeira (PE),2018,211.75,-3.8605263157894854,,,
33,2600203,Afrânio (PE),2008,171.25357142857143,,,,
34,2600203,Afrânio (PE),2009,180.14642857142857,8.892857142857139,,,
35,2600203,Afrânio (PE),2010,179.72857142857143,-0.4178571428571445,,,
36,2600203,Afrânio (PE),2011,186.44,6.71142857142857,,,
37,2600203,Afrânio (PE),2012,179.45294117647057,-6.9870588235294235,,,
38,2600203,Afrânio (PE),2013,191.15,11.697058823529431,22.7,49.21,58.2
39,2600203,Afrânio (PE),2014,189.4888888888889,-1.6611111111110972,21.4,48.0,57.6
40,2600203,Afrânio (PE),2015,187.97368421052636,-1.5152046783625508,26.5,42.09,49.35
41,2600203,Afrânio (PE),2016,184.10555555555555,-3.8681286549708034,39.3,24.76,82.62
42,2600203,Afrânio (PE),2017,187.3692307692308,3.263675213675242,33.6,48.32,83.81
43,2600203,Afrânio (PE),2018,196.2875,8.918269230769198,,,
44,2600302,Agrestina (PE),2008,155.23684210526315,,,,
45,2600302,Agrestina (PE),2009,172.32,17.083157894736843,,,
46,2600302,Agrestina (PE),2010,170.13636363636363,-2.183636363636367,,,
