,Código da Rede,Rede,Código da Etapa,Etapa,Código da GRE,GRE,Código do Município,Município,Código da Escola,Escola,Edição,Proficiência Média,Desvio Padrão,Padrão de Desempenho,Elementar I,Elementar II,Básico,Desejável,Estudantes Previstos,Estudantes Efetivos,Percentual de Participação
0,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010607,ESCOLA EUCLIDES DA CUNHA,2008,162.0,"35,4",Elementar II,"41,2","33,3","23,5","2,0",-,51,-
1,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2614303,MOREILANDIA,26008467,ESCOLA CORONEL CHICO ROMAO,2008,176.0,"44,5",Elementar II,"30,5","30,5","20,3","18,6",-,59,-
2,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,113,SERTAO DO ARARIPE(ARARIPINA),2602001,BODOCO,26001900,ESCOLA JOAO CARLOS LOCIO DE ALMEIDA,2008,146.1,"39,0",Elementar I,"43,5","43,5","13,0","0,0",-,23,-
3,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2601201,ARCOVERDE,26024721,ESCOLA ANTONIO JAPIASSU,2008,204.9,"43,4",Básico,"11,1","22,2","38,9","27,8",-,18,-
4,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2601201,ARCOVERDE,26024730,ESCOLA CARLOS RIOS,2008,177.3,"39,4",Elementar II,"21,1","42,1","21,1","15,8",-,38,-
5,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2601201,ARCOVERDE,26024756,ESCOLA INDUSTRIAL DE ARCOVERDE,2008,174.1,"39,2",Elementar II,"20,6","46,0","22,2","11,1",-,63,-
6,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2601201,ARCOVERDE,26024764,ESCOLA JORNALISTA EDSON REGIS,2008,156.4,"36,1",Elementar II,"42,9","31,7","22,2","3,2",-,63,-
7,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2601201,ARCOVERDE,26024802,ESCOLA MONSENHOR JOSE KEHRLE,2008,168.1,"44,4",Elementar II,"35,3","34,3","17,6","12,7",-,102,-
8,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2601201,ARCOVERDE,26025175,ESCOLA NOE NUNES FERRAZ,2008,157.9,"31,8",Elementar II,"38,0","50,0","8,0","4,0",-,50,-
9,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2601201,ARCOVERDE,26025191,ESCOLA PRESIDENTE MEDICI,2008,178.9,"39,4",Elementar II,"19,4","37,1","30,6","12,9",-,62,-
10,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2601201,ARCOVERDE,26025256,ESCOLA IMACULADA CONCEICAO,2008,191.2,"30,7",Básico,"11,8","26,5","47,1","14,7",-,34,-
11,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2601201,ARCOVERDE,26025280,ESCOLA SANTA CECILIA,2008,170.9,"48,9",Elementar II,"11,8","64,7","11,8","11,8",-,17,-
12,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2602803,BUIQUE,26045435,ESCOLA PEDRO BEZERRA DA SILVA,2008,166.8,"20,7",Elementar II,"25,0","50,0","25,0","0,0",-,4,-
13,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2602803,BUIQUE,26045656,ESCOLA SAO FELIX DE CANTALICE,2008,165.1,"34,0",Elementar II,"30,0","37,5","30,0","2,5",-,40,-
14,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2602803,BUIQUE,26045745,ESCOLA DUQUE DE CAXIAS,2008,149.0,"34,6",Elementar I,"57,6","24,2","18,2","0,0",-,33,-
15,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2602803,BUIQUE,26045753,ESCOLA KAPINAWA,2008,164.1,"51,3",Elementar II,"41,7","16,7","25,0","16,7",-,12,-
16,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2602803,BUIQUE,26046130,ESCOLA JUSSARA BARBOSA,2008,137.6,"30,8",Elementar I,"60,0","40,0","0,0","0,0",-,5,-
17,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2602803,BUIQUE,26046210,ESCOLA BARAO DO RIO BRANCO,2008,195.8,"38,2",Básico,"15,4","7,7","61,5","15,4",-,13,-
18,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2605103,CUSTODIA,26025981,ESCOLA GENERAL JOAQUIM INACIO,2008,196.1,"52,9",Básico,"17,6","26,5","29,4","26,5",-,34,-
19,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2605103,CUSTODIA,26026619,ESCOLA CARLOS DE OLIVEIRA LOBO,2008,158.5,"40,9",Elementar II,"40,0","46,7","0,0","13,3",-,15,-
20,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2606606,IBIMIRIM,26026902,ESCOLA APOLONIO ALVES DA SILVA,2008,172.6,"36,2",Elementar II,"23,1","46,2","23,1","7,7",-,26,-
