,Códigos dos Municípios,Nome dos Municípios,Anos,Porcentagem de Docentes com Formação Adequada no Fundamental,Porcentagem de Alunos do Ensino Fundamental em Escolas com Laboratório de Informática,Porcentagem de Alunos do Ensino Fundamental em Escolas com Acesso à Internet
1,2600054,Abreu E Lima (PE),2008,NA,NA,NA
2,2600054,Abreu E Lima (PE),2009,NA,NA,NA
3,2600054,Abreu E Lima (PE),2010,NA,NA,NA
4,2600054,Abreu E Lima (PE),2011,NA,NA,NA
5,2600054,Abreu E Lima (PE),2012,NA,NA,NA
6,2600054,Abreu E Lima (PE),2013,58.6,45.97,90.04
7,2600054,Abreu E Lima (PE),2014,59.3,47.88,88.34
8,2600054,Abreu E Lima (PE),2015,54.7,42.86,88.12
9,2600054,Abreu E Lima (PE),2016,53.5,41.58,91.14
10,2600054,Abreu E Lima (PE),2017,55.8,37.61,87.03
11,2600054,Abreu E Lima (PE),2018,NA,NA,NA
12,2600104,Afogados da Ingazeira (PE),2008,NA,NA,NA
13,2600104,Afogados da Ingazeira (PE),2009,NA,NA,NA
14,2600104,Afogados da Ingazeira (PE),2010,NA,NA,NA
15,2600104,Afogados da Ingazeira (PE),2011,NA,NA,NA
16,2600104,Afogados da Ingazeira (PE),2012,NA,NA,NA
17,2600104,Afogados da Ingazeira (PE),2013,34.5,91.26,91.26
18,2600104,Afogados da Ingazeira (PE),2014,41.5,91.55,91.55
19,2600104,Afogados da Ingazeira (PE),2015,38.3,87.62,92.52
20,2600104,Afogados da Ingazeira (PE),2016,34.2,87.19,92.96
21,2600104,Afogados da Ingazeira (PE),2017,35.9,85.5,87.37
22,2600104,Afogados da Ingazeira (PE),2018,NA,NA,NA
23,2600203,Afrânio (PE),2008,NA,NA,NA
24,2600203,Afrânio (PE),2009,NA,NA,NA
25,2600203,Afrânio (PE),2010,NA,NA,NA
26,2600203,Afrânio (PE),2011,NA,NA,NA
27,2600203,Afrânio (PE),2012,NA,NA,NA
28,2600203,Afrânio (PE),2013,22.7,49.21,58.2
29,2600203,Afrânio (PE),2014,21.4,48,57.6
30,2600203,Afrânio (PE),2015,26.5,42.09,49.35
31,2600203,Afrânio (PE),2016,39.3,24.76,82.62
32,2600203,Afrânio (PE),2017,33.6,48.32,83.81
33,2600203,Afrânio (PE),2018,NA,NA,NA
34,2600302,Agrestina (PE),2008,NA,NA,NA
35,2600302,Agrestina (PE),2009,NA,NA,NA
36,2600302,Agrestina (PE),2010,NA,NA,NA
37,2600302,Agrestina (PE),2011,NA,NA,NA
38,2600302,Agrestina (PE),2012,NA,NA,NA
39,2600302,Agrestina (PE),2013,19.2,82.37,61.88
40,2600302,Agrestina (PE),2014,20.7,82.15,60.4
41,2600302,Agrestina (PE),2015,17.5,81.02,55.16
42,2600302,Agrestina (PE),2016,18.5,82.09,77.02
43,2600302,Agrestina (PE),2017,17.6,73.93,96.02
44,2600302,Agrestina (PE),2018,NA,NA,NA
45,2600401,Água Preta (PE),2008,NA,NA,NA
46,2600401,Água Preta (PE),2009,NA,NA,NA
47,2600401,Água Preta (PE),2010,NA,NA,NA
48,2600401,Água Preta (PE),2011,NA,NA,NA
49,2600401,Água Preta (PE),2012,NA,NA,NA
50,2600401,Água Preta (PE),2013,29.8,7.42,5.25
51,2600401,Água Preta (PE),2014,33.5,19.06,43.22
52,2600401,Água Preta (PE),2015,33.7,21.65,30.92
53,2600401,Água Preta (PE),2016,30,25.44,61.47
54,2600401,Água Preta (PE),2017,30.6,60.9,26.11
55,2600401,Água Preta (PE),2018,NA,NA,NA
56,2600500,Águas Belas (PE),2008,NA,NA,NA
57,2600500,Águas Belas (PE),2009,NA,NA,NA
58,2600500,Águas Belas (PE),2010,NA,NA,NA
59,2600500,Águas Belas (PE),2011,NA,NA,NA
60,2600500,Águas Belas (PE),2012,NA,NA,NA
61,2600500,Águas Belas (PE),2013,22.1,85.87,71.72
62,2600500,Águas Belas (PE),2014,29.9,88.13,75.1
63,2600500,Águas Belas (PE),2015,33,89.05,53.15
64,2600500,Águas Belas (PE),2016,40.3,88.88,96.69
65,2600500,Águas Belas (PE),2017,39.3,61.52,93.51
66,2600500,Águas Belas (PE),2018,NA,NA,NA
67,2600609,Alagoinha (PE),2008,NA,NA,NA
68,2600609,Alagoinha (PE),2009,NA,NA,NA
69,2600609,Alagoinha (PE),2010,NA,NA,NA
70,2600609,Alagoinha (PE),2011,NA,NA,NA
71,2600609,Alagoinha (PE),2012,NA,NA,NA
72,2600609,Alagoinha (PE),2013,23.2,76.34,80.05
73,2600609,Alagoinha (PE),2014,20.6,79.04,88.48
74,2600609,Alagoinha (PE),2015,22.2,71.81,99.18
75,2600609,Alagoinha (PE),2016,20.4,77.83,94.46
76,2600609,Alagoinha (PE),2017,25.9,62.1,91.84
77,2600609,Alagoinha (PE),2018,NA,NA,NA
78,2600708,Aliança (PE),2008,NA,NA,NA
79,2600708,Aliança (PE),2009,NA,NA,NA
80,2600708,Aliança (PE),2010,NA,NA,NA
81,2600708,Aliança (PE),2011,NA,NA,NA
82,2600708,Aliança (PE),2012,NA,NA,NA
83,2600708,Aliança (PE),2013,26.3,66.48,77.98
84,2600708,Aliança (PE),2014,30,72.53,78.31
85,2600708,Aliança (PE),2015,28.9,54.32,85.9
86,2600708,Aliança (PE),2016,28.4,66.53,97.77
87,2600708,Aliança (PE),2017,28.5,67.03,96.79
88,2600708,Aliança (PE),2018,NA,NA,NA
89,2600807,Altinho (PE),2008,NA,NA,NA
90,2600807,Altinho (PE),2009,NA,NA,NA
91,2600807,Altinho (PE),2010,NA,NA,NA
92,2600807,Altinho (PE),2011,NA,NA,NA
93,2600807,Altinho (PE),2012,NA,NA,NA
94,2600807,Altinho (PE),2013,27.4,75.26,41.78
95,2600807,Altinho (PE),2014,27.3,73.08,67.62
96,2600807,Altinho (PE),2015,17.7,70.21,78.39
97,2600807,Altinho (PE),2016,21.9,68.37,65.9
98,2600807,Altinho (PE),2017,42.3,42.28,54.02
99,2600807,Altinho (PE),2018,NA,NA,NA
100,2600906,Amaraji (PE),2008,NA,NA,NA
101,2600906,Amaraji (PE),2009,NA,NA,NA
102,2600906,Amaraji (PE),2010,NA,NA,NA
103,2600906,Amaraji (PE),2011,NA,NA,NA
104,2600906,Amaraji (PE),2012,NA,NA,NA
105,2600906,Amaraji (PE),2013,22.8,81.85,54.09
106,2600906,Amaraji (PE),2014,26,82.45,54.46
107,2600906,Amaraji (PE),2015,23,83.53,59.81
108,2600906,Amaraji (PE),2016,23.7,84.56,50.03
109,2600906,Amaraji (PE),2017,21.7,74.74,81.32
110,2600906,Amaraji (PE),2018,NA,NA,NA
111,2601003,Angelim (PE),2008,NA,NA,NA
112,2601003,Angelim (PE),2009,NA,NA,NA
113,2601003,Angelim (PE),2010,NA,NA,NA
114,2601003,Angelim (PE),2011,NA,NA,NA
115,2601003,Angelim (PE),2012,NA,NA,NA
